2016-02-15T18:47:43.617+0800: 1460.332: [GC [PSYoungGen: 1303872K->13945K(1340800K)] 1421557K->131892K(4137024K), 0.0240630 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T18:48:44.508+0800: 1521.223: [GC [PSYoungGen: 1300921K->15040K(1349568K)] 1418868K->133406K(4145792K), 0.0273340 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T18:49:48.078+0800: 1584.792: [GC [PSYoungGen: 1313408K->15072K(1346880K)] 1431774K->133691K(4143104K), 0.0281070 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:50:44.608+0800: 1641.322: [GC [PSYoungGen: 1313440K->13104K(1354048K)] 1432059K->132375K(4150272K), 0.0247570 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:51:36.265+0800: 1692.980: [GC [PSYoungGen: 1321136K->13440K(1352064K)] 1440407K->133171K(4148288K), 0.0254410 secs] [Times: user=0.03 sys=0.01, real=0.03 secs] 
2016-02-15T18:52:34.378+0800: 1751.092: [GC [PSYoungGen: 1321472K->14579K(1358144K)] 1441203K->134415K(4154368K), 0.0253300 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2016-02-15T18:53:32.119+0800: 1808.834: [GC [PSYoungGen: 1330739K->14623K(1356096K)] 1450575K->134971K(4152320K), 0.0293090 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:54:25.635+0800: 1862.349: [GC [PSYoungGen: 1330783K->12064K(1361536K)] 1451131K->132655K(4157760K), 0.0248870 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T18:55:19.183+0800: 1915.897: [GC [PSYoungGen: 1335648K->15472K(1360128K)] 1456239K->136268K(4156352K), 0.0285270 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:56:16.759+0800: 1973.473: [GC [PSYoungGen: 1339056K->15152K(1365184K)] 1459852K->136220K(4161408K), 0.0285660 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:57:20.595+0800: 2037.309: [GC [PSYoungGen: 1345712K->14644K(1363456K)] 1466780K->136049K(4159680K), 0.0280100 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T18:58:19.459+0800: 2096.174: [GC [PSYoungGen: 1345204K->14257K(1367936K)] 1466609K->135988K(4164160K), 0.0271240 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2016-02-15T18:59:17.609+0800: 2154.323: [GC [PSYoungGen: 1350769K->16487K(1366656K)] 1472500K->138522K(4162880K), 0.0361690 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2016-02-15T19:00:09.077+0800: 2205.791: [GC [PSYoungGen: 1352999K->14496K(1370176K)] 1475034K->136850K(4166400K), 0.0283330 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:01:08.272+0800: 2264.986: [GC [PSYoungGen: 1355680K->13728K(1369088K)] 1478034K->136451K(4165312K), 0.0300910 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-02-15T19:02:05.795+0800: 2322.509: [GC [PSYoungGen: 1354912K->16464K(1371840K)] 1477635K->139275K(4168064K), 0.0333650 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2016-02-15T19:03:09.632+0800: 2386.347: [GC [PSYoungGen: 1361296K->15953K(1371072K)] 1484107K->139046K(4167296K), 0.0282510 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:04:06.656+0800: 2443.371: [GC [PSYoungGen: 1360785K->14784K(1373632K)] 1483878K->138388K(4169856K), 0.0280310 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2016-02-15T19:05:05.004+0800: 2501.718: [GC [PSYoungGen: 1363136K->14407K(1372800K)] 1486740K->138135K(4169024K), 0.0275300 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
